Training Accuracy,Training Loss,Validation Accuracy,Validation Loss,Precision,Recall,F1_Score,ROC AUC
"[0.8288391828536987, 0.930854320526123, 0.9442323446273804, 0.9544258117675781]","[0.3519112467765808, 0.17832963168621063, 0.14483650028705597, 0.12144333869218826]",0.9463266185500377,"[0.1875801682472229, 0.16606952250003815, 0.14074493944644928, 0.13919290900230408]",0.9695442966317577,0.9216984178237003,0.9450161392666979,0.9884726009374635
"[0.9554895758628845, 0.9630100727081299, 0.9694735407829285, 0.9754523038864136]","[0.11710000038146973, 0.09884309023618698, 0.08246501535177231, 0.06753747910261154]",0.9559678983087364,"[0.11643807590007782, 0.1124020516872406, 0.11333345621824265, 0.12998957931995392]",0.9724560914413158,0.9385964912280702,0.955226332940822,0.9905637081475537
"[0.9735536575317383, 0.9782665967941284, 0.9805893898010254, 0.985982358455658]","[0.07471121847629547, 0.0624065175652504, 0.05489092692732811, 0.0406196303665638]",0.9724227081762361,"[0.06069304421544075, 0.08638738095760345, 0.07837267220020294, 0.08217445760965347]",0.9816745308899375,0.9628672909267033,0.97217996087807,0.9963586301092469
"[0.9839355945587158, 0.988864004611969, 0.9912406206130981, 0.9937654137611389]","[0.047324344515800476, 0.033562298864126205, 0.026001565158367157, 0.019827697426080704]",0.9834105353872671,"[0.030499720945954323, 0.034645501524209976, 0.04433504492044449, 0.04921590909361839]",0.9878353426740524,0.9789043160047358,0.9833495513028435,0.9985610136000957
"[0.9906347393989563, 0.9935365915298462, 0.9940482378005981, 0.995011031627655]","[0.02808322384953499, 0.02024032548069954, 0.017935127019882202, 0.01604706421494484]",0.9896313053782554,"[0.017883112654089928, 0.018995439633727074, 0.033973317593336105, 0.02963721565902233]",0.993651654910472,0.9855766643345353,0.9895976871740835,0.9994279290890862
