Training Accuracy,Training Loss,Validation Accuracy,Validation Loss,Precision,Recall,F1_Score,ROC AUC
"[0.9436802864074707, 0.9667871594429016, 0.9780174493789673, 0.9848714470863342]","[0.14096418023109436, 0.0853562206029892, 0.05797366425395012, 0.03955571725964546]",0.9608962619842724,"[0.11482271552085876, 0.1146184504032135, 0.10517534613609314, 0.1505948156118393]",0.9795095733960363,0.9415563448498547,0.9601580507079355,0.9926955715483871
"[0.9823399186134338, 0.989409327507019, 0.9932807087898254, 0.9948763251304626]","[0.05088494345545769, 0.030496083199977875, 0.01964508555829525, 0.014920338056981564]",0.9871000754066573,"[0.02903764136135578, 0.028840433806180954, 0.03700029477477074, 0.04104192927479744]",0.9910486627244616,0.9831019265956302,0.9870593002836688,0.9989850987580073
"[0.99265456199646, 0.9952870607376099, 0.9963104128837585, 0.9967682361602783]","[0.022069767117500305, 0.013522809371352196, 0.010498100891709328, 0.009084226563572884]",0.9942098459549714,"[0.008870374411344528, 0.008547886274755001, 0.011197681538760662, 0.018330775201320648]",0.9963249202831973,0.992089118501776,0.9942025077524606,0.9998300851097532
"[0.995792031288147, 0.9968490600585938, 0.9973405599594116, 0.9978253245353699]","[0.012239768169820309, 0.008835848420858383, 0.00738939642906189, 0.00650173332542181]",0.9978455240762685,"[0.0036766950506716967, 0.003211810253560543, 0.005267950240522623, 0.006094163749366999]",0.9990828657747087,0.9966096222150468,0.9978447114607468,0.9999728978656852
"[0.9971251487731934, 0.9977243542671204, 0.9978320598602295, 0.998020589351654]","[0.008513092063367367, 0.0067005036398768425, 0.006416573654860258, 0.005565464962273836]",0.9982763728420996,"[0.002222570823505521, 0.004934906028211117, 0.005885032005608082, 0.0048729912377893925]",0.9988147190345348,0.9977396265001883,0.9982768833126917,0.9999844202211603
